Sample,NMDS1,NMDS2,Site
001_VA,0.4,0.03,Waiben
004_RF,-0.27,0.68,Waiben
011_MA,0.47,0.18,Waiben
015_MA,0.53,-0.05,Waiben
019_LG,0.08,-0.2,Waiben
020_KN,-1.42,-0.76,Waiben
021_JC,-0.43,-0.5,Waiben
022_SM,-1.36,1.18,Waiben
024_JM,-0.69,-0.7,Waiben
029_UW,0.92,-0.52,Waiben
037_ST,1.35,0.12,Waiben
040_KB,-0.12,-0.65,Waiben
041_MNL,0.47,0.05,Waiben
042_SPA,0.2,-0.4,Waiben
045_NM,0.07,-0.46,Waiben
046_RM,0.6,-0.48,Waiben
052_WC,0.95,-0.3,Waiben
053_MA,0.47,0.31,Waiben
060_DW,0.56,-0.33,Waiben
061_NA,0.85,-0.1,Waiben
064_WAW,0.73,-0.51,Waiben
065_MWA,0.1,0.15,Waiben
067_RM,0.66,-0.57,Waiben
069_EJK,-2.18,-0.66,Waiben
071_KC,-0.14,0.01,Waiben
074_DC,0.87,0.01,Waiben
075_SM,0.38,-0.69,Waiben
078_AT,0.49,0.49,Waiben
079_MC,-0.33,0.01,Waiben
082_SW,0.37,-0.03,Waiben
083_AP,0.4,-0.8,Waiben
084_JP,0.29,-0.26,Waiben
088_PB,-0.05,0.88,Waiben
089_AA,-0.99,-1.24,Waiben
091_FC,-0.97,1.13,Waiben
092_TP,1.05,0.53,Waiben
093_SD,0.18,-0.14,Waiben
094_MG,1.16,-0.03,Waiben
095_SB,0.68,0.28,Waiben
098_LD,-0.15,-0.04,Waiben
100_BC,0.11,-0.86,Waiben
101_MB,-1.12,0.46,Waiben
103_ML,0.96,0.48,Waiben
104_GL,-0.02,-0.5,Waiben
106_FC,0.3,-0.35,Waiben
107_ZC,-0.4,-0.12,Waiben
111_AG,1.92,-0.26,Waiben
113_KD,-0.26,-0.05,Waiben
115_FR,-0.23,0.18,Waiben
122_KM,0.5,-0.17,Waiben
302_TK,-0.57,-0.17,Mer
303_EG,-1.13,1.02,Mer
304_RK,-0.04,0.22,Mer
305_FK,1.56,0.26,Mer
306_RS,0.74,0.21,Mer
307_GK,0.19,0.3,Mer
308_VM,0,-0.2,Mer
309_PK,0.15,0.79,Mer
310_GM,-0.29,-1.14,Mer
311_MK,0.09,-0.14,Mer
312_KN,0.39,0.47,Mer
313_VM,-0.49,0.17,Mer
314_SP,0.75,-0.03,Mer
315_SK,0.53,0.28,Mer
317_TG,0.38,0.18,Mer
319_DM,-1.54,0.44,Mer
320_ST,0.18,0.38,Mer
321_RM,-0.67,1.8,Mer
322_LT,-0.01,0.46,Mer
324_AT,-0.13,0.4,Mer
329_NW,0.55,-2,Mer
332_MW,-0.4,0.35,Mer
333_MW,-2.17,0.22,Mer
334_BT,0.89,0.22,Mer
335_LK,-0.33,-0.73,Mer
336_PT,-1.53,-1.36,Mer
337_TP,-1.29,-0.01,Mer
338_EC,0.73,0.64,Mer
339_GK,-0.12,0.49,Mer
340_CM,-0.52,0.29,Mer
341_ST,-0.05,1.24,Mer
343_VB,-0.8,-0.5,Mer
344_SB,-0.2,0.04,Mer
345_MK,-0.24,0.11,Mer
346_JS,-0.69,-2.36,Mer
347_RT,-0.95,0.69,Mer
348_DO,-1.1,0.27,Mer
349_GS,1.11,-0.32,Mer
352_AB,0.06,-0.44,Mer
354_AK,0.37,0.9,Mer
357_WT,0.62,0.09,Mer
359_AB,-0.2,1.89,Mer
360_JG,0.57,0.94,Mer
364_JZ,-1.54,0.1,Mer
367_RL,0.24,0.17,Mer
370_WH,-0.33,0.32,Mer
371_SK,-0.23,-0.08,Mer
379_JP,-0.28,-0.86,Mer
382_JK,-0.1,-0.29,Mer
385_CP,-0.16,-0.13,Mer
